NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
NAVIO TESTE 3,2023-11-25 13:08:19,171.7,0.0,-23.91795,-46.366966
NAVIO TESTE 3,2023-11-25 13:50:19,349.0,0.0,-23.91792,-46.366988
NAVIO TESTE 3,2023-11-25 14:53:19,147.2,0.0,-23.917966,-46.366938
NAVIO TESTE 3,2023-11-25 17:08:17,358.1,0.0,-23.917996,-46.366945
NAVIO TESTE 3,2023-11-25 18:54:18,101.6,5.5,-23.91806,-46.358843
NAVIO TESTE 3,2023-11-25 18:59:48,95.5,6.8,-23.918301,-46.34815
NAVIO TESTE 3,2023-11-25 19:29:57,139.5,7.9,-23.956945,-46.303928
NAVIO TESTE 3,2023-11-25 19:35:37,141.0,8.2,-23.9669,-46.295145
NAVIO TESTE 3,2023-11-25 19:46:48,221.3,7.7,-23.988248,-46.291663
NAVIO TESTE 3,2023-11-25 20:12:17,202.5,8.4,-24.014528,-46.340476
NAVIO TESTE 3,2023-11-25 20:14:28,200.8,8.4,-24.019285,-46.342471
NAVIO TESTE 3,2023-11-25 20:17:28,200.7,8.5,-24.026035,-46.345183
NAVIO TESTE 3,2023-11-25 20:22:49,198.9,8.6,-24.038085,-46.350028
NAVIO TESTE 3,2023-11-25 20:24:59,184.4,8.1,-24.04289,-46.351776
NAVIO TESTE 3,2023-11-25 20:48:21,126.1,6.2,-24.063111,-46.299198
NAVIO TESTE 3,2023-11-25 20:53:36,192.4,3.5,-24.068993,-46.2965
NAVIO TESTE 3,2023-11-25 21:23:57,189.8,0.7,-24.07617,-46.307976
NAVIO TESTE 3,2023-11-25 21:26:57,206.6,0.8,-24.076813,-46.308016
NAVIO TESTE 3,2023-11-25 21:29:27,169.9,0.5,-24.077265,-46.307945
NAVIO TESTE 3,2023-11-25 21:59:57,82.0,4.9,-24.076546,-46.308385
NAVIO TESTE 3,2023-11-25 22:02:48,74.3,6.7,-24.075638,-46.303321
NAVIO TESTE 3,2023-11-25 22:21:19,73.9,9.7,-24.066046,-46.25509
NAVIO TESTE 3,2023-11-25 22:38:18,79.0,9.6,-24.054876,-46.207035
NAVIO TESTE 3,2023-11-25 22:40:28,78.6,9.7,-24.053368,-46.200901
NAVIO TESTE 3,2023-11-25 23:36:58,72.8,9.6,-24.01691,-46.043378
NAVIO TESTE 3,2023-11-25 23:39:58,75.4,9.5,-24.01505,-46.034991
NAVIO TESTE 3,2023-11-26 00:01:26,76.4,9.4,-24.001916,-45.975436
NAVIO TESTE 3,2023-11-26 00:06:37,74.0,9.4,-23.99883,-45.961145
NAVIO TESTE 3,2023-11-26 00:18:18,71.8,9.5,-23.991151,-45.929216
NAVIO TESTE 3,2023-11-26 00:27:26,72.8,9.5,-23.98294,-45.904625
NAVIO TESTE 3,2023-11-26 00:28:26,65.7,9.5,-23.982048,-45.901993
NAVIO TESTE 3,2023-11-26 00:30:26,76.5,9.5,-23.980271,-45.896558
NAVIO TESTE 3,2023-11-26 00:31:58,69.4,9.6,-23.978978,-45.892493
NAVIO TESTE 3,2023-11-26 00:32:58,72.9,9.6,-23.978051,-45.88975
NAVIO TESTE 3,2023-11-26 00:33:57,68.3,9.6,-23.977113,-45.887111
NAVIO TESTE 3,2023-11-26 00:36:27,63.7,9.6,-23.97475,-45.880405
NAVIO TESTE 3,2023-11-26 00:37:18,74.7,9.6,-23.973996,-45.878166
NAVIO TESTE 3,2023-11-26 01:56:38,73.5,9.9,-23.903586,-45.659496
NAVIO TESTE 3,2023-11-26 02:04:27,77.5,10.0,-23.897125,-45.637398
NAVIO TESTE 3,2023-11-26 02:32:07,76.6,6.0,-23.878996,-45.57584
NAVIO TESTE 3,2023-11-26 02:38:27,59.1,4.3,-23.876238,-45.56699
NAVIO TESTE 3,2023-11-26 03:04:28,273.1,0.1,-23.873593,-45.552945
NAVIO TESTE 3,2023-11-26 03:07:48,236.6,0.4,-23.873578,-45.55342
NAVIO TESTE 3,2023-11-26 03:10:27,307.5,0.3,-23.873678,-45.553701
NAVIO TESTE 3,2023-11-26 03:41:47,10.9,0.2,-23.873555,-45.554015
NAVIO TESTE 3,2023-11-26 03:42:07,133.0,0.1,-23.873541,-45.553993
NAVIO TESTE 3,2023-11-26 03:44:48,21.3,0.1,-23.873406,-45.553855
NAVIO TESTE 3,2023-11-26 03:56:57,357.7,0.0,-23.872845,-45.553708
NAVIO TESTE 3,2023-11-26 03:57:37,327.8,0.1,-23.872848,-45.553731
NAVIO TESTE 3,2023-11-26 03:58:05,249.1,0.1,-23.87285,-45.553731
NAVIO TESTE 3,2023-11-26 04:14:17,170.0,0.0,-23.872763,-45.554231
NAVIO TESTE 3,2023-11-26 05:05:49,38.1,0.0,-23.87249,-45.554163
NAVIO TESTE 3,2023-11-26 05:22:17,163.8,0.0,-23.872666,-45.553833
NAVIO TESTE 3,2023-11-26 05:28:56,197.5,0.0,-23.872588,-45.553871
NAVIO TESTE 3,2023-11-26 05:29:17,350.3,0.0,-23.872568,-45.55388
NAVIO TESTE 3,2023-11-26 05:30:17,196.9,0.0,-23.872561,-45.553905
NAVIO TESTE 3,2023-11-26 05:33:57,170.1,0.0,-23.87265,-45.55389
NAVIO TESTE 3,2023-11-26 05:34:57,346.3,0.0,-23.872643,-45.553878
NAVIO TESTE 3,2023-11-26 05:55:59,351.9,0.0,-23.872983,-45.553498
NAVIO TESTE 3,2023-11-26 06:41:07,95.3,0.0,-23.87446,-45.551241
NAVIO TESTE 3,2023-11-26 06:45:37,67.6,0.0,-23.874385,-45.550791
NAVIO TESTE 3,2023-11-26 06:50:08,25.2,0.0,-23.874118,-45.550343
NAVIO TESTE 3,2023-11-26 07:04:27,358.5,0.1,-23.872953,-45.549811
NAVIO TESTE 3,2023-11-26 07:13:57,354.5,0.1,-23.872948,-45.54992
NAVIO TESTE 3,2023-11-26 08:32:17,183.0,0.0,-23.873701,-45.549988
NAVIO TESTE 3,2023-11-26 08:37:58,182.6,0.0,-23.873706,-45.550055
NAVIO TESTE 3,2023-11-26 08:49:37,174.7,0.1,-23.873715,-45.550233
NAVIO TESTE 3,2023-11-26 08:59:18,347.6,0.0,-23.873771,-45.550345
NAVIO TESTE 3,2023-11-26 09:23:28,104.3,0.0,-23.873388,-45.550311
NAVIO TESTE 3,2023-11-26 10:03:16,156.1,0.0,-23.873171,-45.549903
NAVIO TESTE 3,2023-11-26 10:35:18,196.0,0.0,-23.872875,-45.549918
NAVIO TESTE 3,2023-11-26 10:38:57,178.2,0.0,-23.872793,-45.550023
NAVIO TESTE 3,2023-11-26 11:06:39,348.0,0.0,-23.872456,-45.550093
NAVIO TESTE 3,2023-11-26 11:08:47,153.9,0.0,-23.872435,-45.550121
NAVIO TESTE 3,2023-11-26 11:10:28,336.3,0.0,-23.872423,-45.55013
NAVIO TESTE 3,2023-11-26 11:14:08,140.5,0.0,-23.872385,-45.55017
NAVIO TESTE 3,2023-11-26 11:14:09,140.5,0.0,-23.872385,-45.55017
NAVIO TESTE 3,2023-11-26 11:15:39,336.2,0.0,-23.872336,-45.550198
NAVIO TESTE 3,2023-11-26 11:44:17,126.7,0.0,-23.871555,-45.550361
NAVIO TESTE 3,2023-11-26 11:49:38,326.2,0.0,-23.87134,-45.55049
NAVIO TESTE 3,2023-11-26 12:12:36,321.7,0.0,-23.870668,-45.550743
NAVIO TESTE 3,2023-11-26 12:35:27,69.4,0.1,-23.87062,-45.550718
NAVIO TESTE 3,2023-11-26 12:38:27,290.7,0.0,-23.870655,-45.550675
NAVIO TESTE 3,2023-11-26 12:39:16,138.0,0.0,-23.870673,-45.550653
NAVIO TESTE 3,2023-11-26 12:40:16,302.3,0.0,-23.870681,-45.550671
NAVIO TESTE 3,2023-11-26 12:40:27,239.0,0.0,-23.870686,-45.550671
NAVIO TESTE 3,2023-11-26 12:44:26,299.6,0.0,-23.870741,-45.55076
NAVIO TESTE 3,2023-11-26 12:45:17,304.5,0.0,-23.87075,-45.550755
NAVIO TESTE 3,2023-11-26 12:46:17,140.0,0.0,-23.870753,-45.550748
NAVIO TESTE 3,2023-11-26 12:59:38,314.0,0.0,-23.870508,-45.55056
NAVIO TESTE 3,2023-11-26 13:24:38,122.6,0.0,-23.870333,-45.550811
NAVIO TESTE 3,2023-11-26 13:44:58,288.8,0.0,-23.870003,-45.551286
NAVIO TESTE 3,2023-11-26 13:50:18,317.3,0.0,-23.87002,-45.551443
NAVIO TESTE 3,2023-11-26 13:55:18,109.3,0.0,-23.869905,-45.551505
NAVIO TESTE 3,2023-11-26 14:37:38,302.3,0.1,-23.870053,-45.551256
NAVIO TESTE 3,2023-11-26 14:39:38,284.5,0.0,-23.870028,-45.551306
NAVIO TESTE 3,2023-11-26 14:43:07,300.3,0.0,-23.870031,-45.551376
NAVIO TESTE 3,2023-11-26 14:45:57,95.0,0.0,-23.86998,-45.55137
NAVIO TESTE 3,2023-11-26 15:17:38,157.9,0.0,-23.869945,-45.551565
NAVIO TESTE 3,2023-11-26 15:27:17,279.4,0.1,-23.869881,-45.551496
NAVIO TESTE 3,2023-11-26 15:35:17,181.9,0.0,-23.869978,-45.551446
NAVIO TESTE 3,2023-11-26 15:48:37,98.9,0.0,-23.869836,-45.551623
NAVIO TESTE 3,2023-11-26 15:49:26,274.9,0.0,-23.869833,-45.55163
NAVIO TESTE 3,2023-11-26 16:23:28,258.7,0.0,-23.869765,-45.552391
NAVIO TESTE 3,2023-11-26 16:47:59,88.3,0.0,-23.869778,-45.552518
NAVIO TESTE 3,2023-11-26 16:50:18,197.3,0.0,-23.869788,-45.552503
NAVIO TESTE 3,2023-11-26 16:52:58,209.3,0.0,-23.869838,-45.552506
NAVIO TESTE 3,2023-11-26 16:55:08,260.5,0.0,-23.86986,-45.552543
NAVIO TESTE 3,2023-11-26 17:21:25,144.1,0.5,-23.870455,-45.552453
NAVIO TESTE 3,2023-11-26 17:21:48,144.5,0.5,-23.870506,-45.552438
NAVIO TESTE 3,2023-11-26 17:25:08,189.7,0.7,-23.871145,-45.552211
NAVIO TESTE 3,2023-11-26 17:25:45,128.7,0.7,-23.871261,-45.552128
NAVIO TESTE 3,2023-11-26 17:25:55,101.0,0.7,-23.871285,-45.552103
NAVIO TESTE 3,2023-11-26 17:27:25,142.7,0.6,-23.871536,-45.551943
NAVIO TESTE 3,2023-11-26 17:31:18,126.5,1.6,-23.872771,-45.551036
NAVIO TESTE 3,2023-11-26 17:32:15,120.5,2.1,-23.873186,-45.550476
NAVIO TESTE 3,2023-11-26 17:34:08,81.2,2.7,-23.873526,-45.548965
NAVIO TESTE 3,2023-11-26 17:55:29,82.0,6.2,-23.876491,-45.506755
NAVIO TESTE 3,2023-11-26 18:08:39,86.5,3.5,-23.877001,-45.489623
NAVIO TESTE 3,2023-11-26 18:10:58,71.9,5.2,-23.877265,-45.486018
NAVIO TESTE 3,2023-11-26 18:30:59,39.7,8.5,-23.86501,-45.444586
NAVIO TESTE 3,2023-11-26 18:33:39,41.3,8.5,-23.86037,-45.439948
NAVIO TESTE 3,2023-11-26 18:35:27,41.6,8.2,-23.85741,-45.437023
NAVIO TESTE 3,2023-11-26 19:05:37,311.4,0.1,-23.836783,-45.42931
NAVIO TESTE 3,2023-11-26 19:18:08,354.9,0.1,-23.836491,-45.429833
NAVIO TESTE 3,2023-11-26 19:23:18,318.3,0.1,-23.836381,-45.429881
NAVIO TESTE 3,2023-11-26 19:43:58,316.4,0.0,-23.835745,-45.430193
NAVIO TESTE 3,2023-11-26 19:51:18,93.9,0.0,-23.835731,-45.430178
NAVIO TESTE 3,2023-11-26 19:54:47,124.3,0.0,-23.835751,-45.430158
NAVIO TESTE 3,2023-11-26 20:32:07,285.8,0.0,-23.835803,-45.430225
NAVIO TESTE 3,2023-11-26 20:35:16,141.8,0.1,-23.835901,-45.430246
NAVIO TESTE 3,2023-11-26 21:00:38,5.8,0.0,-23.835868,-45.430116
NAVIO TESTE 3,2023-11-26 21:03:18,211.7,0.0,-23.835926,-45.43012
NAVIO TESTE 3,2023-11-26 21:07:47,72.2,0.0,-23.835993,-45.430163
NAVIO TESTE 3,2023-11-26 21:35:37,238.2,0.1,-23.836045,-45.430211
NAVIO TESTE 3,2023-11-26 21:38:19,105.7,0.0,-23.83607,-45.430195
NAVIO TESTE 3,2023-11-26 21:42:28,286.7,0.0,-23.836045,-45.430135
NAVIO TESTE 3,2023-11-26 22:15:19,92.4,0.0,-23.836131,-45.430113
NAVIO TESTE 3,2023-11-26 23:05:07,174.2,0.0,-23.836138,-45.430093
NAVIO TESTE 3,2023-11-26 23:10:07,311.6,0.0,-23.83626,-45.430025
NAVIO TESTE 3,2023-11-26 23:12:18,176.3,0.0,-23.83626,-45.430021
NAVIO TESTE 3,2023-11-26 23:14:37,150.5,0.0,-23.836288,-45.430028
NAVIO TESTE 3,2023-11-27 00:26:28,107.5,0.0,-23.836695,-45.429651
NAVIO TESTE 3,2023-11-27 00:29:28,131.6,0.0,-23.836715,-45.429686
NAVIO TESTE 3,2023-11-27 00:55:47,164.0,0.0,-23.836478,-45.42987
NAVIO TESTE 3,2023-11-27 00:58:19,134.9,0.0,-23.836521,-45.429888
NAVIO TESTE 3,2023-11-27 01:04:48,330.6,0.0,-23.83655,-45.429846
NAVIO TESTE 3,2023-11-27 01:32:58,1.2,0.0,-23.836101,-45.430088
NAVIO TESTE 3,2023-11-27 01:35:58,0.6,0.0,-23.836123,-45.430125
NAVIO TESTE 3,2023-11-27 01:38:38,333.3,0.0,-23.836068,-45.430093
NAVIO TESTE 3,2023-11-27 02:08:18,98.6,0.0,-23.83598,-45.430156
NAVIO TESTE 3,2023-11-27 02:12:48,171.6,0.0,-23.83604,-45.43004
NAVIO TESTE 3,2023-11-27 02:49:36,167.2,0.0,-23.836216,-45.429951
NAVIO TESTE 3,2023-11-27 03:20:58,335.6,0.0,-23.836421,-45.429916
NAVIO TESTE 3,2023-11-27 03:49:08,168.4,0.0,-23.836293,-45.42997
NAVIO TESTE 3,2023-11-27 03:51:58,149.6,0.0,-23.836353,-45.42993
NAVIO TESTE 3,2023-11-27 03:56:09,341.8,0.0,-23.836365,-45.429965
NAVIO TESTE 3,2023-11-27 04:10:27,258.5,0.0,-23.836205,-45.430025
NAVIO TESTE 3,2023-11-27 04:10:28,258.5,0.0,-23.836205,-45.430025
NAVIO TESTE 3,2023-11-27 04:12:17,242.9,0.0,-23.836196,-45.43005
NAVIO TESTE 3,2023-11-27 04:13:17,310.3,0.0,-23.836203,-45.43009
NAVIO TESTE 3,2023-11-27 04:13:58,321.4,0.0,-23.836196,-45.430073
NAVIO TESTE 3,2023-11-27 05:01:57,169.8,0.0,-23.836236,-45.43002
NAVIO TESTE 3,2023-11-27 05:02:57,174.9,0.0,-23.836268,-45.430028
NAVIO TESTE 3,2023-11-27 05:45:16,332.4,0.0,-23.836116,-45.430118
NAVIO TESTE 3,2023-11-27 05:48:06,169.9,0.0,-23.836131,-45.43008
NAVIO TESTE 3,2023-11-27 05:49:57,208.1,0.0,-23.836158,-45.430063
NAVIO TESTE 3,2023-11-27 05:53:08,190.9,0.0,-23.83622,-45.430066
NAVIO TESTE 3,2023-11-27 06:39:58,132.3,0.0,-23.836138,-45.430033
NAVIO TESTE 3,2023-11-27 06:43:58,171.4,0.0,-23.836208,-45.430061
