SESSION_ID,CONSUMED_QUANTITY,DESCRIPTION
40200000214,,LSHFO 0.5
40200000214,,LSMGO 0.5
40200000218,2,LSHFO 0.5
40200000218,,LSMGO 0.5
40200000227,,LSHFO 0.5
40200000227,,LSMGO 0.5
40200000237,3,LSHFO 0.5
40200000237,,LSMGO 0.5
40200000268,4,LSHFO 0.5
40200000268,,LSMGO 0.5
40200000275,,LSHFO 0.5
40200000275,,LSMGO 0.5
40200000277,,LSHFO 0.5
40200000277,,LSMGO 0.5
40200000279,,LSHFO 0.5
40200000279,,LSMGO 0.5
40200000281,,LSHFO 0.5
40200000281,,LSMGO 0.5
40200000283,,LSHFO 0.5
40200000283,,LSMGO 0.5
40200000285,0,LSHFO 0.5
40200000285,0,LSMGO 0.5
40200000288,,LSHFO 0.5
40200000288,,LSMGO 0.5
40200000290,,LSHFO 0.5
40200000290,,LSMGO 0.5
40200000294,1.45,LSHFO 0.5
40200000294,,LSMGO 0.5
40200000298,,LSHFO 0.5
40200000298,,LSMGO 0.5
40200000303,1.4,LSHFO 0.5
40200000303,,LSMGO 0.5
40200000305,3.88,LSHFO 0.5
40200000305,,LSMGO 0.5
40200000317,,LSHFO 0.5
40200000317,,LSMGO 0.5
40200000323,1,LSHFO 0.5
40200000323,,LSMGO 0.5
40200000327,0,LSHFO 0.5
40200000327,0,LSMGO 0.5
40200000327,0,LSMGO 0.5
40200000374,,LSHFO 0.5
40200000374,,LSMGO 0.5
40200000374,,LSMGO 0.5
40200000377,2.5,LSHFO 0.5
40200000377,,LSMGO 0.5
40200000377,,LSMGO 0.5
40200000379,,LSHFO 0.5
40200000379,,LSMGO 0.5
40200000379,,LSMGO 0.5
40200000383,2.5,LSHFO 0.5
40200000383,,LSMGO 0.5
40200000383,,LSMGO 0.5
40200000389,,LSHFO 0.5
40200000389,,LSMGO 0.5
40200000389,,LSMGO 0.5
40200000393,3,LSHFO 0.5
40200000393,,LSMGO 0.5
40200000393,,LSMGO 0.5
40200000395,,LSHFO 0.5
40200000395,,LSMGO 0.5
40200000395,,LSMGO 0.5
40200000397,2.09,LSHFO 0.5
40200000397,,LSMGO 0.5
40200000397,,LSMGO 0.5
40200000405,,LSHFO 0.5
40200000405,,LSMGO 0.5
40200000405,,LSMGO 0.5
40200000409,1.87,LSHFO 0.5
40200000409,,LSMGO 0.5
40200000409,,LSMGO 0.5
40200000411,,LSHFO 0.5
40200000411,,LSMGO 0.5
40200000411,,LSMGO 0.5
40200000413,2.25,LSHFO 0.5
40200000413,,LSMGO 0.5
40200000413,,LSMGO 0.5
40200000417,,LSHFO 0.5
40200000417,,LSMGO 0.5
40200000417,,LSMGO 0.5
40200000421,3.13,LSHFO 0.5
40200000421,,LSMGO 0.5
40200000421,,LSMGO 0.5
40200000426,7.5,LSHFO 0.5
40200000426,,LSMGO 0.5
40200000426,,LSMGO 0.5
40200000440,,LSHFO 0.5
40200000440,,LSMGO 0.5
40200000442,4.99,LSHFO 0.5
40200000442,,LSMGO 0.5
40200000447,,LSHFO 0.5
40200000447,,LSMGO 0.5
40200000451,3.3,LSHFO 0.5
40200000451,,LSMGO 0.5
40200000456,10,LSHFO 0.5
40200000456,0,LSMGO 0.5
40200000474,,LSHFO 0.5
40200000474,,LSMGO 0.5
40200000481,2.1,LSHFO 0.5
40200000481,,LSMGO 0.5
40200000483,,LSHFO 0.5
40200000483,,LSMGO 0.5
40200000486,1.33,LSHFO 0.5
40200000486,,LSMGO 0.5
40200000490,,LSHFO 0.5
40200000490,,LSMGO 0.5
40200000494,0.8,LSHFO 0.5
40200000494,,LSMGO 0.5
40200000499,4.4,LSHFO 0.5
40200000499,,LSMGO 0.5
40200000507,,LSHFO 0.5
40200000507,,LSMGO 0.5
40200000509,,LSHFO 0.5
40200000509,,LSMGO 0.5
40200000517,,LSHFO 0.5
40200000517,,LSMGO 0.5
40200000521,,LSHFO 0.5
40200000521,,LSMGO 0.5
40200000525,0,LSHFO 0.5
40200000525,0,LSMGO 0.5
40200000529,3,LSHFO 0.5
40200000529,,LSMGO 0.5
40200000533,4,LSHFO 0.5
40200000533,,LSMGO 0.5
40200000539,1.5,LSHFO 0.5
40200000539,,LSMGO 0.5
40200000543,,LSHFO 0.5
40200000543,,LSMGO 0.5
40200000545,,LSHFO 0.5
40200000545,,LSMGO 0.5
40200000547,0,LSHFO 0.5
40200000547,0,LSMGO 0.5
40200000551,2,LSHFO 0.5
40200000551,,LSMGO 0.5
40200000555,0,LSHFO 0.5
40200000555,0,LSMGO 0.5
40200000559,0.2,LSHFO 0.5
40200000559,,LSMGO 0.5
40200000562,,LSHFO 0.5
40200000562,,LSMGO 0.5
40200000566,1,LSHFO 0.5
40200000566,,LSMGO 0.5
40200000571,5.53,LSHFO 0.5
40200000571,,LSMGO 0.5
40200000581,1.13,LSHFO 0.5
40200000581,,LSMGO 0.5
40200000587,,LSHFO 0.5
40200000587,,LSMGO 0.5
40200000591,3.4,LSHFO 0.5
40200000591,,LSMGO 0.5
40200000595,,LSHFO 0.5
40200000595,,LSMGO 0.5
40200000599,2.25,LSHFO 0.5
40200000599,,LSMGO 0.5
40200000601,6.6,LSHFO 0.5
40200000601,,LSMGO 0.5
40200000613,,LSHFO 0.5
40200000613,,LSMGO 0.5
40200000617,1,LSHFO 0.5
40200000617,,LSMGO 0.5
40200000621,,LSHFO 0.5
40200000621,,LSMGO 0.5
40200000629,0,LSHFO 0.5
40200000629,0,LSMGO 0.5
40200000629,0,LSMGO 0.5
40200000633,1,LSHFO 0.5
40200000633,0,LSMGO 0.5
40200000633,0,LSMGO 0.5
40200000637,0,LSHFO 0.5
40200000637,,LSMGO 0.5
40200000637,0,LSMGO 0.5
40200000639,,LSHFO 0.5
40200000639,,LSMGO 0.5
40200000647,1,LSHFO 0.5
40200000647,,LSMGO 0.5
40200000651,,LSHFO 0.5
40200000651,,LSMGO 0.5
40200000655,1.5,LSHFO 0.5
40200000655,,LSMGO 0.5
40200000659,2,LSHFO 0.5
40200000659,,LSMGO 0.5
40200000665,1.13,LSHFO 0.5
40200000665,,LSMGO 0.5
40200000669,,LSHFO 0.5
40200000669,,LSMGO 0.5
40200000673,2.25,LSHFO 0.5
40200000673,,LSMGO 0.5
40200000677,,LSHFO 0.5
40200000677,,LSMGO 0.5
40200000681,1,LSHFO 0.5
40200000681,,LSMGO 0.5
40200000685,5,LSHFO 0.5
40200000685,,LSMGO 0.5
40200000691,1,LSHFO 0.5
40200000691,,LSMGO 0.5
40200000696,0,LSHFO 0.5
40200000696,0,LSMGO 0.5
40200000698,0,LSHFO 0.5
40200000698,0,LSMGO 0.5
40200000702,2,LSHFO 0.5
40200000702,,LSMGO 0.5
40200000706,,LSHFO 0.5
40200000706,,LSMGO 0.5
40200000710,1.5,LSHFO 0.5
40200000710,0,LSMGO 0.5
40200000714,3,LSHFO 0.5
40200000714,,LSMGO 0.5
40200000720,0.3,LSHFO 0.5
40200000720,,LSMGO 0.5
40200000725,,LSHFO 0.5
40200000725,,LSMGO 0.5
40200000729,5,LSHFO 0.5
40200000729,0,LSMGO 0.5
40200000735,0,LSHFO 0.5
40200000735,0,LSMGO 0.5
40200000739,3,LSHFO 0.5
40200000739,,LSMGO 0.5
40200000743,2,LSHFO 0.5
40200000743,,LSMGO 0.5
40200000749,1.2,LSHFO 0.5
40200000749,,LSMGO 0.5
40200000753,,LSHFO 0.5
40200000753,,LSMGO 0.5
40200000757,5,LSHFO 0.5
40200000757,,LSMGO 0.5
40200000784,,LSHFO 0.5
40200000784,,LSMGO 0.5
40200000788,2.5,LSHFO 0.5
40200000788,,LSMGO 0.5
40200000792,0,LSHFO 0.5
40200000792,0,LSMGO 0.5
40200000796,1.5,LSHFO 0.5
40200000796,,LSMGO 0.5
40200000800,6,LSHFO 0.5
40200000800,,LSMGO 0.5
40200000806,0.5,LSHFO 0.5
40200000806,,LSMGO 0.5
40200000810,,LSHFO 0.5
40200000810,,LSMGO 0.5
40200000812,6.3,LSHFO 0.5
40200000812,,LSMGO 0.5
40200000819,0,LSHFO 0.5
40200000819,0,LSMGO 0.5
40200000823,3.1,LSHFO 0.5
40200000823,0,LSMGO 0.5
40200000826,6.4,LSHFO 0.5
40200000826,0,LSMGO 0.5
40200000841,0.8,LSHFO 0.5
40200000841,,LSMGO 0.5
40200000845,,LSHFO 0.5
40200000845,,LSMGO 0.5
40200000849,3.5,LSHFO 0.5
40200000849,,LSMGO 0.5
40200000853,0,LSHFO 0.5
40200000853,0,LSMGO 0.5
40200000857,2,LSHFO 0.5
40200000857,,LSMGO 0.5
40200000861,0,LSHFO 0.5
40200000861,0,LSMGO 0.5
40200000865,2.04,LSHFO 0.5
40200000865,,LSMGO 0.5
40200000869,0,LSHFO 0.5
40200000869,0,LSMGO 0.5
40200000874,1.2,LSHFO 0.5
40200000874,,LSMGO 0.5
40200000878,7.3,LSHFO 0.5
40200000878,0,LSMGO 0.5
40200000888,0.15,LSHFO 0.5
40200000888,,LSMGO 0.5
